rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
81,University of Bristol,27335,14.8,31,55,69.8,48.7,56.5,97.3,72.3,92.5,"Beacon House, Queens Road, Avon, Bristol, BS8 1QU, United Kingdom",,,,,
82,City University of Hong Kong,9076,13.2,67,54,69.3,52.2,52.4,91.1,100.0,98.7,"83 Tat Chee Ave, Kowloon Tong, Kowloon, Hong Kong",,,,,
83,Korea Advanced Institute of Science and Technology (KAIST),10130,10.7,8,21,69.2,67.1,65.8,77.4,100.0,41.6,"291 Daehak-ro, Yuseong-gu, Daejeon, 34141, South Korea",,,,,
84,UNSW Sydney,47044,36.6,40,47,68.9,47.2,57.4,91.1,98.6,94.5,,,,,,
85,University of Minnesota,59556,11.8,9,55,68.7,61.0,58.5,87.2,99.8,48.3,"3 Morrill Hall, 100 Church St. S.E., Minneapolis, Minnesota, 55455, United States",,,,,
86,Purdue University West Lafayette,42633,18.3,17,44,68.5,64.0,65.3,71.8,84.3,76.7,"610 Purdue Mall, West Lafayette, Indiana, 47907, United States",,,,,
=87,University of Glasgow,32270,14.4,43,59,68.2,48.1,51.8,96.8,69.7,96.1,"University Avenue, Glasgow City, Glasgow, G12 8QQ, United Kingdom",,,,,
=87,The Hong Kong Polytechnic University,20034,30.6,30,51,68.2,45.7,54.1,94.5,87.4,96.3,"11 Yuk Choi Road, Hung Hom, Kowloon, Hong Kong",,,,,
=87,Humboldt University of Berlin,34761,54.5,18,,68.2,55.3,63.7,82.8,65.4,79.0,"Unter den Linden 6, D-10099, Berlin, 10117, Germany",,,,,
90,RWTH Aachen University,34914,43.3,29,34,68.0,54.9,64.8,78.9,100.0,71.2,"Templergraben 55, Aachen, North Rhine Westphalia, 52056, Germany",,,,,
91,University of Bonn,26290,44.5,17,57,67.8,51.7,57.7,89.7,82.6,73.8,"Regina Pacis Weg 3, D-53012 Bonn, Germany",,,,,
=92,"University of California, Irvine",35675,16.2,26,53,67.4,47.1,53.8,93.2,96.1,80.9,"University of California,, Irvine, Irvine, California, 92697, United States",,,,,
